Dev1/ai1_Time/s,Dev1/ai1
3.829976062,0.689615497
3.839976,0.667094323
3.849975937,0.560923074
3.859975875,0.744309777
3.869975812,0.609182732
3.87997575,0.638138528
3.889975687,0.564140384
3.899975625,0.708919361
3.909975562,0.622051975
3.9199755,0.548053831
3.929975437,0.757179019
3.939975375,0.657442391
3.949975312,0.689615497
3.95997525,0.528749968
3.969975187,0.744309777
3.979975125,0.634921217
3.989975062,0.634921217
3.999975,0.583444248
4.009974937,0.667094323
4.019974875,0.65100777
4.029974812,0.531967278
4.03997475,0.757179019
4.049974687,0.676746255
4.059974625,0.605965422
4.069974562,0.548053831
4.0799745,0.715353982
4.089974437,0.638138528
4.099974375,0.65100777
4.109974312,0.519098036
4.11997425,0.757179019
4.129974187,0.612400043
4.139974125,0.634921217
4.149974062,0.5384019
4.159974,0.70570205
4.169973937,0.622051975
4.179973875,0.59631349
4.189973812,0.59631349
4.19997375,0.654225081
4.209973687,0.641355838
4.219973625,0.519098036
4.229973562,0.766830951
4.2399735,0.663877012
4.249973437,0.638138528
4.259973375,0.548053831
4.269973312,0.715353982
4.27997325,0.638138528
4.289973187,0.65100777
4.299973125,0.519098036
4.309973062,0.766830951
4.319973,0.625269285
4.329972937,0.644573149
4.339972875,0.59631349
4.349972812,0.692832808
4.35997275,0.737875156
4.369972687,0.577009627
4.379972625,0.786134815
4.389972562,0.657442391
4.3999725,0.625269285
4.409972437,0.747527088
4.419972375,0.70570205
4.429972312,0.744309777
4.43997225,0.673528944
4.449972187,0.753961709
4.459972125,0.802221368
4.469972062,0.866567579
4.479972,0.821525231
4.489971937,0.773265572
4.499971875,0.940565723
4.509971812,0.959869586
4.51997175,1.120735116
4.529971687,1.075692768
4.539971625,1.236558297
4.549971562,1.152908222
4.5599715,1.275166024
4.569971437,1.149690911
4.579971375,1.246210229
4.589971312,1.217254433
4.59997125,1.468204659
4.609971187,1.442466174
4.619971125,1.510029697
4.629971062,1.47463928
4.639971,1.757762612
4.649970937,1.696633711
4.659970875,1.809239581
4.669970812,1.937932005
4.67997075,2.060189807
4.689970687,2.137405261
4.699970625,2.159926435
4.709970562,2.211403405
4.7199705,2.542786395
4.729970437,2.398007419
4.739970375,2.378703555
4.749970312,2.629653781
4.75997025,2.870952075
4.769970187,3.131554232
4.779970125,3.192683133
4.789970062,3.427546806
4.79997,3.353548663
4.809969937,3.353548663
4.819969875,3.890839531
4.829969812,3.546587298
4.83996975,3.787885592
4.849969687,4.048487749
4.859969625,4.238309074
4.869969562,4.231874453
4.8799695,4.321959149
4.889969437,4.975073198
4.899969375,4.630820966
4.909969312,4.888205813
4.91996925,5.396540885
4.929969187,5.515581377
4.939969125,5.682881527
4.949969062,5.454452476
4.959969,5.444800544
4.969968937,6.139739631
4.979968875,5.676446906
4.989968812,6.02713376
4.99996875,6.345647508
5.009968687,6.557990007
5.019968625,6.554772696
5.029968562,6.512947659
5.0399685,7.445967729
5.049968437,7.153192465
5.059968375,7.741960303
5.069968312,7.037369284
5.07996825,7.436315797
5.089968187,7.436315797
5.099968125,7.584312084
5.109968062,8.237426133
5.119968,8.378987799
5.129967937,7.976823976
5.139967875,8.584895676
5.149967812,0.004328342
5.15996775,0.004328342
5.169967687,0.004328342
5.179967625,0.001111032
5.189967562,0.010762963
5.1999675,0.004328342
5.209967437,0.001111032
5.219967375,0.001111032
5.229967312,0.007545653
5.23996725,0.010762963
5.249967187,0.001111032
5.259967125,0.010762963
5.269967062,0.004328342
5.279967,0.004328342
5.289966937,0.004328342
5.299966875,0.007545653
5.309966812,0.001111032
5.31996675,0.004328342
5.329966687,0.001111032
5.339966625,0.007545653
5.349966562,0.004328342
5.3599665,0.007545653
5.369966437,0.001111032
5.379966375,0.004328342
5.389966312,0.007545653
5.39996625,0.007545653
5.409966187,0.004328342
5.419966125,0.001111032
5.429966062,0.001111032
5.439966,0.004328342
5.449965937,0.001111032
5.459965875,0.004328342
5.469965812,0.004328342
5.47996575,0.010762963
5.489965687,0.013980274
5.499965625,0.007545653
5.509965562,0.007545653
5.5199655,0.004328342
5.529965437,0.001111032
5.539965375,0.004328342
5.549965312,0.004328342
5.55996525,0.004328342
5.569965187,0.004328342
5.579965125,0.001111032
5.589965062,0.004328342
5.599965,0.001111032
5.609964937,0.004328342
5.619964875,0.004328342
5.629964812,0.010762963
5.63996475,0.007545653
5.649964687,0.007545653
5.659964625,0.004328342
5.669964562,0.010762963
5.6799645,0.010762963
5.689964437,0.007545653
5.699964375,0.004328342
5.709964312,0.001111032
5.71996425,0.001111032
5.729964187,0.004328342
5.739964125,0.004328342
5.749964062,0.004328342
5.759964,0.004328342
5.769963937,0.004328342
5.779963875,0.010762963
5.789963812,0.004328342
5.79996375,0.001111032
5.809963687,0.004328342
5.819963625,0.001111032
5.829963562,0.001111032
5.8399635,0.010762963
5.849963437,0.010762963
5.859963375,0.004328342
5.869963312,0.007545653
5.87996325,0.007545653
5.889963187,0.010762963
5.899963125,0.007545653
5.909963062,0.004328342
5.919963,0.004328342
5.929962937,0.007545653
5.939962875,0.010762963
5.949962812,0.007545653
5.95996275,0.004328342
5.969962687,0.004328342
5.979962625,0.004328342
5.989962562,0.001111032
5.9999625,-0.002106279
6.009962437,0.004328342
6.019962375,0.007545653
6.029962312,0.004328342
6.03996225,0.004328342
6.049962187,0.010762963
6.059962125,0.004328342
6.069962062,0.007545653
6.079962,0.007545653
6.089961937,0.004328342
6.099961875,0.007545653
6.109961812,0.004328342
6.11996175,0.007545653
6.129961687,0.004328342
6.139961625,0.007545653
6.149961562,0.007545653
6.1599615,0.010762963
6.169961437,0.004328342
6.179961375,0.010762963
6.189961312,0.004328342
6.19996125,0.007545653
6.209961187,0.007545653
6.219961125,0.004328342
6.229961062,0.004328342
6.239961,0.004328342
6.249960937,0.001111032
6.259960875,0.004328342
6.269960812,0.007545653
6.27996075,0.001111032
6.289960687,0.007545653
6.299960625,0.010762963
6.309960562,0.007545653
6.3199605,0.004328342
6.329960437,0.010762963
6.339960375,0.007545653
6.349960312,0.007545653
6.35996025,0.004328342
6.369960187,0.004328342
6.379960125,0.004328342
6.389960062,0.007545653
6.39996,0.007545653
6.409959937,0.007545653
6.419959875,0.007545653
6.429959812,0.007545653
6.43995975,0.001111032
6.449959687,0.007545653
6.459959625,-0.002106279
6.469959562,0.004328342
6.4799595,0.004328342
6.489959437,0.013980274
6.499959375,0.001111032
6.509959312,0.004328342
6.51995925,0.007545653
6.529959187,-13.8976707
6.539959125,-5.278495641
6.549959062,-3.589407583
6.559959,-4.538514206
6.569958937,-4.56103538
6.579958875,-4.496689168
6.589958812,-4.464516062
6.59995875,-4.570687312
6.609958687,-4.413039093
6.619958625,-4.062352239
6.629958562,-3.972267543
6.6399585,-3.853227051
6.649958437,-3.656971105
6.659958375,-3.753490423
6.669958312,-3.496105576
6.67995825,-3.451063228
6.689958187,-3.486453644
6.699958125,-3.24193804
6.709958062,-3.122897548
6.719958,-2.965249329
6.729957937,-2.8043838
6.739957875,-2.987770503
6.749957812,-2.723951035
6.75995775,-2.69821255
6.769957687,-2.556650885
6.779957625,-2.395785355
6.789957562,-2.363612249
6.7999575,-2.299266038
6.809957437,-2.196312099
6.819957375,-2.086923539
6.829957312,-1.955013805
6.83995725,-2.029011948
6.849957187,-1.951796494
6.859957125,-1.800582897
6.869957062,-1.803800207
6.879957,-1.54319805
6.889956937,-1.572153845
6.899956875,-1.610761572
6.909956812,-1.43380949
6.91995675,-1.408071005
6.929956687,-1.279378582
6.939956625,-1.330855551
6.949956562,-1.198945817
6.9599565,-1.256857408
6.969956437,-1.144251537
6.979956375,-1.189293885
6.989956312,-1.073470704
6.99995625,-0.980168697
7.009956187,-1.115295742
7.019956125,-0.989820629
7.029956062,-0.864345516
7.039956,-0.970516765
7.049955937,-0.896518622
7.059955875,-0.944778281
7.069955812,-0.716349229
7.07995575,-0.873997448
7.089955687,-0.864345516
7.099955625,-0.848258963
7.109955562,-0.732435782
7.1199555,-0.635916464
7.129955437,-0.732435782
7.139955375,-0.867562827
7.149955312,-0.706697297
7.15995525,-0.713131919
7.169955187,-0.677741502
7.179955125,-0.735653093
7.189955062,-0.623047222
7.199955,-0.742087714
7.209954937,-0.751739646
7.219954875,-0.745305024
7.229954812,-0.732435782
7.23995475,-0.716349229
7.249954687,-0.642351086
7.259954625,-0.616612601
7.269954562,-0.738870403
7.2799545,-0.77426082
7.289954437,-0.687393434
7.299954375,-0.738870403
7.309954312,-0.790347373
7.31995425,-0.661654949
7.329954187,-0.552266389
7.339954125,-0.729218471
7.349954062,-0.803216615
7.359954,-0.751739646
7.369953937,-0.677741502
7.379953875,-0.806433926
7.389953812,-0.693828055
7.39995375,-0.587656806
7.409953687,-0.658437639
7.419953625,-0.838607031
7.429953562,-0.790347373
7.4399535,-0.66808957
7.449953437,-0.726001161
7.459953375,-0.697045366
7.469953312,-0.652003017
7.47995325,-0.655220328
7.489953187,-0.77426082
7.499953125,-0.77426082
7.509953062,-0.687393434
7.519953,-0.71956654
7.529952937,-0.690610744
7.539952875,-0.66808957
7.549952812,-0.652003017
7.55995275,-0.758174267
7.569952687,-0.738870403
7.579952625,-0.680958813
7.589952562,-0.748522335
7.5999525,-0.693828055
7.609952437,-0.639133775
7.619952375,-0.542614457
7.629952312,-0.71956654
7.63995225,-0.761391577
7.649952187,-0.726001161
7.659952125,-0.639133775
7.669952062,-0.764608888
7.679952,-0.66487226
7.689951937,-0.635916464
7.699951875,-0.561918321
7.709951812,-0.745305024
7.71995175,-0.745305024
7.729951687,-0.71956654
7.739951625,-0.645568396
7.749951562,-0.783912751
7.7599515,-0.652003017
7.769951437,-0.616612601
7.779951375,-0.590874116
7.789951312,-0.783912751
7.79995125,-0.761391577
7.809951187,-0.697045366
7.819951125,-0.66808957
7.829951062,-0.806433926
7.839951,-0.642351086
7.849950937,-0.578004874
7.859950875,-0.639133775
7.869950812,-0.835389721
7.87995075,-0.742087714
7.889950687,-0.645568396
7.899950625,-0.687393434
7.909950562,-0.825737789
7.9199505,-0.623047222
7.929950437,-0.532962526
7.939950375,-0.658437639
7.949950312,-0.838607031
7.95995025,-0.732435782
7.969950187,-0.635916464
7.979950125,-0.700262676
7.989950062,-0.819303168
7.99995,0.004328342
8.009949937,0.001111032
8.019949875,0.007545653
8.029949812,0.004328342
8.03994975,0.004328342
8.049949687,-0.002106279
8.059949625,0.007545653
8.069949562,0.007545653
8.0799495,0.001111032
8.089949437,0.010762963
8.099949375,0.001111032
8.109949312,0.004328342
8.11994925,0.007545653
8.129949187,0.004328342
8.139949125,0.007545653
8.149949062,-0.002106279
8.159949,0.007545653
8.169948937,0.004328342
8.179948875,0.010762963
8.189948812,0.001111032
8.19994875,0.004328342
8.209948687,0.007545653
8.219948625,0.004328342
8.229948562,0.007545653
8.2399485,0.007545653
8.249948437,0.004328342
8.259948375,0.004328342
8.269948312,0.001111032
8.27994825,0.007545653
8.289948187,0.004328342
8.299948125,0.004328342
8.309948062,0.010762963
8.319948,0.007545653
8.329947937,0.007545653
8.339947875,0.004328342
8.349947812,0.007545653
8.35994775,0.010762963
8.369947687,0.004328342
8.379947625,0.007545653
8.389947562,0.004328342
8.3999475,0.001111032
8.409947437,0.004328342
8.419947375,0.004328342
8.429947312,-0.002106279
8.43994725,0.007545653
8.449947187,0.007545653
8.459947125,0.007545653
8.469947062,0.001111032
8.479947,0.010762963
8.489946937,0.007545653
8.499946875,0.004328342
8.509946812,0.007545653
8.51994675,0.001111032
8.529946687,0.010762963
8.539946625,-0.002106279
8.549946562,0.004328342
8.5599465,0.007545653
8.569946437,0.007545653
8.579946375,0.010762963
8.589946312,0.007545653
8.59994625,0.010762963
8.609946187,0.004328342
8.619946125,0.010762963
8.629946062,0.001111032
8.639946,0.007545653
8.649945937,0.004328342
8.659945875,0.007545653
8.669945812,0.001111032
8.67994575,0.007545653
8.689945687,0.007545653
8.699945625,0.010762963
8.709945562,0.007545653
8.7199455,0.007545653
8.729945437,0.007545653
8.739945375,0.007545653
8.749945312,0.004328342
8.75994525,0.004328342
8.769945187,0.007545653
8.779945125,0.001111032
8.789945062,0.004328342
8.799945,0.010762963
8.809944937,0.007545653
8.819944875,0.004328342
8.829944812,0.007545653
8.83994475,0.001111032
8.849944687,0.007545653
8.859944625,0.004328342
8.869944562,0.004328342
8.8799445,0.007545653
8.889944437,0.004328342
8.899944375,0.007545653
8.909944312,0.007545653
8.91994425,0.007545653
8.929944187,0.001111032
8.939944125,0.004328342
8.949944062,0.001111032
8.959944,-0.00532359
8.969943937,0.004328342
8.979943875,0.004328342
8.989943812,0.004328342
8.99994375,0.007545653
9.009943687,0.007545653
9.019943625,0.001111032
9.029943562,0.004328342
9.0399435,0.007545653
9.049943437,0.007545653
9.059943375,0.004328342
9.069943312,0.001111032
9.07994325,0.001111032
9.089943187,-0.002106279
9.099943125,0.004328342
9.109943062,0.007545653
9.119943,0.001111032
9.129942937,0.007545653
9.139942875,0.001111032
9.149942812,0.004328342
9.15994275,0.004328342
9.169942687,0.004328342
9.179942625,0.010762963
9.189942562,0.007545653
9.1999425,0.010762963
9.209942437,0.004328342
9.219942375,0.004328342
9.229942312,0.004328342
9.23994225,0.007545653
9.249942187,0.007545653
9.259942125,0.010762963
9.269942062,0.004328342
9.279942,0.004328342
9.289941937,0.007545653
9.299941875,0.001111032
9.309941812,0.001111032
9.31994175,0.004328342
9.329941687,0.007545653
9.339941625,0.010762963
9.349941562,0.001111032
9.3599415,0.010762963
9.369941437,0.001111032
9.379941375,0.007545653
9.389941312,-0.002106279
9.39994125,0.007545653
9.409941187,0.007545653
9.419941125,0.004328342
9.429941062,0.001111032
9.439941,0.001111032
9.449940937,0.001111032
9.459940875,0.010762963
9.469940812,0.007545653
9.47994075,0.004328342
9.489940687,0.007545653
9.499940625,0.004328342
9.509940562,-0.002106279
9.5199405,0.001111032
9.529940437,0.001111032
9.539940375,0.004328342
9.549940312,0.010762963
9.55994025,0.001111032
9.569940187,0.001111032
9.579940125,0.004328342
9.589940062,0.007545653
9.59994,0.004328342
9.609939937,0.007545653
9.619939875,0.007545653
9.629939812,0.010762963
9.63993975,0.010762963
9.649939687,0.010762963
9.659939625,0.010762963
9.669939562,0.004328342
9.6799395,0.007545653
9.689939437,0.004328342
9.699939375,0.010762963
9.709939312,0.010762963
9.71993925,0.007545653
9.729939187,0.007545653
9.739939125,0.004328342
9.749939062,0.004328342
9.759939,0.004328342
9.769938937,0.001111032
9.779938875,0.004328342
