"LineNo","DateTime","Hour","Channel","ThresholdA","CutoffA","CbMs","ArrivalDelayMs","Dev","N","FsHz","ImaxA"
"1821","2025/12/28 5:11:03","2025-12-28 05:00","1","10","8.239","31.2","0.93","1","20","1000","10.342"
"1827","2025/12/28 5:11:33","2025-12-28 05:00","1","10","8.236","31.93","0.28","1","20","1000","10.821"
"1828","2025/12/28 5:11:33","2025-12-28 05:00","5","10","8.594","31.91","0.26","1","20","1000","9.703"
"1833","2025/12/28 5:12:03","2025-12-28 05:00","1","10","8.258","31.93","-0.03","1","20","1000","10.194"
"1846","2025/12/28 5:13:03","2025-12-28 05:00","5","10","8.714","31.91","0.9","1","20","1000","10.495"
"1852","2025/12/28 5:13:33","2025-12-28 05:00","5","10","8.553","31.87","0.42","1","20","1000","10.012"
"1858","2025/12/28 5:14:03","2025-12-28 05:00","5","10","8.508","31.94","0.17","1","20","1000","10.524"
"1894","2025/12/28 5:17:03","2025-12-28 05:00","5","10","8.588","31.95","0.26","1","20","1000","9.658"
"1905","2025/12/28 5:18:03","2025-12-28 05:00","1","10","8.295","31.94","0.43","1","20","1000","10.802"
"1918","2025/12/28 5:19:03","2025-12-28 05:00","5","10","8.623","31.95","0.75","1","20","1000","9.771"
"1919","2025/12/28 5:19:04","2025-12-28 05:00","3","10","8.531","31.69","-0.05","1","20","1000","10.438"
"1930","2025/12/28 5:20:03","2025-12-28 05:00","5","10","8.63","31.86","0.04","1","20","1000","10.826"
"1942","2025/12/28 5:21:03","2025-12-28 05:00","5","10","8.613","31.95","0.87","1","20","1000","10.553"
"1947","2025/12/28 5:21:33","2025-12-28 05:00","1","10","8.357","31.92","0.77","1","20","1000","10.496"
"1961","2025/12/28 5:22:33","2025-12-28 05:00","3","10","8.17","31.24","0.9","1","20","1000","9.856"
"1973","2025/12/28 5:23:33","2025-12-28 05:00","3","10","8.137","31.95","0.39","1","20","1000","9.759"
"1979","2025/12/28 5:24:04","2025-12-28 05:00","3","10","8.321","31.92","0.64","1","20","1000","10.48"
"1991","2025/12/28 5:25:04","2025-12-28 05:00","3","10","8.662","31.9","0.67","1","20","1000","9.875"
"1997","2025/12/28 5:25:34","2025-12-28 05:00","3","10","8.299","31.89","0.86","1","20","1000","10.979"
"2001","2025/12/28 5:26:03","2025-12-28 05:00","1","10","8.193","31.96","0.1","1","20","1000","9.637"
"2009","2025/12/28 5:26:34","2025-12-28 05:00","3","10","8.454","31.84","0.49","1","20","1000","10.895"
"2015","2025/12/28 5:27:04","2025-12-28 05:00","3","10","8.193","31.92","0","1","20","1000","9.843"
"2025","2025/12/28 5:28:03","2025-12-28 05:00","1","10","8.233","31.89","0.86","1","20","1000","9.724"
"2027","2025/12/28 5:28:04","2025-12-28 05:00","3","10","8.384","31.88","0.83","1","20","1000","10.515"
"2031","2025/12/28 5:28:33","2025-12-28 05:00","1","10","8.233","31.98","0.83","1","20","1000","10.258"
"2043","2025/12/28 5:29:33","2025-12-28 05:00","1","10","8.67","31.92","0.81","1","20","1000","10.654"
"2049","2025/12/28 5:30:03","2025-12-28 05:00","1","10","8.41","31.94","0.44","1","20","1000","10.857"
"2055","2025/12/28 5:30:33","2025-12-28 05:00","1","10","8.341","31.93","0","1","20","1000","10.783"
"2057","2025/12/28 5:30:34","2025-12-28 05:00","3","10","8.54","31.91","0.13","1","20","1000","10.261"
"2062","2025/12/28 5:31:03","2025-12-28 05:00","5","10","8.617","31.91","0.47","1","20","1000","10.099"
"2104","2025/12/28 5:34:33","2025-12-28 05:00","5","10","8.515","31.92","0.88","1","20","1000","10.45"
"2110","2025/12/28 5:35:03","2025-12-28 05:00","5","10","8.69","31.74","0.68","1","20","1000","10.283"
"2117","2025/12/28 5:35:34","2025-12-28 05:00","3","10","8.289","31.82","0.51","1","20","1000","9.804"
"2128","2025/12/28 5:36:33","2025-12-28 05:00","5","10","8.473","31.89","0.89","1","20","1000","10.369"
"2133","2025/12/28 5:37:03","2025-12-28 05:00","1","10","8.634","31.97","0.17","1","20","1000","10.625"
"2157","2025/12/28 5:39:03","2025-12-28 05:00","1","10","8.355","31.95","0.05","1","20","1000","10.306"
"2163","2025/12/28 5:39:33","2025-12-28 05:00","1","10","8.303","31.92","0.01","1","20","1000","9.949"
"2207","2025/12/28 5:43:04","2025-12-28 05:00","3","10","8.322","31.78","0.08","1","20","1000","9.753"
"2236","2025/12/28 5:45:33","2025-12-28 05:00","5","10","8.585","31.9","0.25","1","20","1000","9.771"
"2237","2025/12/28 5:45:34","2025-12-28 05:00","3","10","8.285","31.46","0.15","1","20","1000","9.695"
"2271","2025/12/28 5:48:33","2025-12-28 05:00","1","10","8.197","31.95","0.07","1","20","1000","9.798"
"2284","2025/12/28 5:49:33","2025-12-28 05:00","5","10","8.465","31.91","-0.03","1","20","1000","9.929"
"2289","2025/12/28 5:50:03","2025-12-28 05:00","1","10","8.13","31.82","0.72","1","20","1000","10.017"
"2290","2025/12/28 5:50:03","2025-12-28 05:00","5","10","8.452","31.88","0.65","1","20","1000","10.07"
"2296","2025/12/28 5:50:33","2025-12-28 05:00","5","10","8.761","31.9","0","1","20","1000","10.469"
"2302","2025/12/28 5:51:03","2025-12-28 05:00","5","10","8.553","31.93","0.64","1","20","1000","10.405"
"2309","2025/12/28 5:51:34","2025-12-28 05:00","3","10","8.394","31.87","0.4","1","20","1000","9.763"
"2321","2025/12/28 5:52:34","2025-12-28 05:00","3","10","8.246","33.38","-0.03","1","20","1000","11.204"
"2337","2025/12/28 5:54:03","2025-12-28 05:00","1","10","8.212","31.87","0.58","1","20","1000","10.187"
"2338","2025/12/28 5:54:03","2025-12-28 05:00","5","10","8.595","31.97","0.56","1","20","1000","10.302"
"2362","2025/12/28 5:56:03","2025-12-28 05:00","5","10","8.515","31.94","0.85","1","20","1000","10.054"
"2381","2025/12/28 5:57:34","2025-12-28 05:00","3","10","8.442","31.91","0.05","1","20","1000","9.853"
"2391","2025/12/28 5:58:33","2025-12-28 05:00","1","10","8.118","31.92","0.14","1","20","1000","9.779"
"2434","2025/12/28 6:02:03","2025-12-28 06:00","5","10","8.461","31.94","0.68","1","20","1000","10.064"
"2440","2025/12/28 6:02:33","2025-12-28 06:00","5","10","8.616","31.93","-0.04","1","20","1000","10.051"
"2445","2025/12/28 6:03:03","2025-12-28 06:00","1","10","8.4","31.94","0.83","1","20","1000","10.619"
